SBE Region,PSUCODE,SCHOOL CODE,SCHOOL NAME,2019-20 % of Students with Home Internet Access
Piedmont,10.00,10303,ABSS Early College at ACC,88
Piedmont,10.00,10304,Alexander Wilson Elementary,85
Piedmont,10.00,10308,Altamahaw-Ossipee Elementary,75
Piedmont,10.00,10310,Broadview Middle,85
Piedmont,10.00,10311,Career and Technical Education Center,85
Piedmont,10.00,10312,Highland Elementary,90
Piedmont,10.00,10320,E M Yoder Elementary,60
Piedmont,10.00,10324,Eastern Alamance High,75
Piedmont,10.00,10326,Eastlawn Elementary,86
Piedmont,10.00,10328,Edwin M Holt Elementary,65
Piedmont,10.00,10340,Elon Elementary,75
Piedmont,10.00,10346,B. Everett Jordan Elementary,75
Piedmont,10.00,10347,Audrey W. Garrett Elementary,83
Piedmont,10.00,10348,Graham High,80
Piedmont,10.00,10350,Graham Middle,85
Piedmont,10.00,10351,Grove Park Elementary,74
Piedmont,10.00,10353,Hawfields Middle,92
Piedmont,10.00,10354,Harvey R Newlin Elementary,78
Piedmont,10.00,10357,Haw River Elementary,70
Piedmont,10.00,10358,Hillcrest Elementary,78
Piedmont,10.00,10360,Hugh M Cummings High,85
Piedmont,10.00,10362,Marvin B Smith Elementary,67
Piedmont,10.00,10364,North Graham Elementary,68
Piedmont,10.00,10372,Pleasant Grove Elementary,35
Piedmont,10.00,10374,R Homer Andrews Elementary,85
Piedmont,10.00,10378,Ray Street Academy,60
Piedmont,10.00,10380,South Graham Elementary,25
Piedmont,10.00,10384,South Mebane Elementary,80
Piedmont,10.00,10388,Southern Alamance High,68
Piedmont,10.00,10390,Southern Alamance Middle,35
Piedmont,10.00,10392,Sylvan Elementary,70
Piedmont,10.00,10394,Turrentine Middle,70
Piedmont,10.00,10396,Walter M Williams High,94
Piedmont,10.00,10400,Western Alamance High,85
Piedmont,10.00,10403,Western Alamance Middle,85
Piedmont,10.00,10406,Woodlawn Middle,15
Northwest,20.00,20302,Alexander Central High,85
Northwest,20.00,20303,Alexander Early College,85
Northwest,20.00,20304,Bethlehem Elementary,80
Northwest,20.00,20306,East Alexander Middle,75
Northwest,20.00,20308,Ellendale Elementary,80
Northwest,20.00,20316,Hiddenite Elementary,78
Northwest,20.00,20320,Stony Point Elementary,85
Northwest,20.00,20324,Sugar Loaf Elementary,90
Northwest,20.00,20328,Taylorsville Elementary,78
Northwest,20.00,20330,West Alexander Middle,80
Northwest,20.00,20332,Wittenburg Elementary,85
Northwest,30.00,30304,Alleghany High,92
Northwest,30.00,30308,Glade Creek Elementary,92
Northwest,30.00,30316,Piney Creek Elementary,95
Northwest,30.00,30320,Sparta Elementary,95
Southwest,40.00,40304,Anson Co. Early College High,75
Southwest,40.00,40305,Anson Academy,30
Southwest,40.00,40306,Anson High School,99
Southwest,40.00,40308,Ansonville Elementary,85
Southwest,40.00,40309,Anson Middle,60
Southwest,40.00,40311,Wadesboro Primary,80
Southwest,40.00,40316,Lilesville Elementary,85
Southwest,40.00,40324,Morven Elementary,50
Southwest,40.00,40328,Peachland-Polkton Elem,100
Southwest,40.00,40330,Wadesboro Elementary,50
Northwest,50.00,50302,Ashe County High,80
Northwest,50.00,50303,Ashe County Early College High,90
Northwest,50.00,50305,Ashe County Middle,93
Northwest,50.00,50310,Blue Ridge Elementary,90
Northwest,50.00,50330,Mountain View Elementary,90
Northwest,50.00,50335,Westwood Elementary,96
Northwest,60.00,60302,Avery County High,60
Northwest,60.00,60304,Banner Elk Elementary,90
Northwest,60.00,60310,Cranberry Middle,60
Northwest,60.00,60316,Crossnore Elementary,60
Northwest,60.00,60318,Avery Middle,60
Northwest,60.00,60322,Freedom Trail Elementary,70
Northwest,60.00,60328,Newland Elementary,65
Northwest,60.00,60332,Riverside Elementary,40
Northwest,60.00,60334,Blue Ridge Academy,50
#N/A,#N/A,60700,Avery High STEM Academy,
#N/A,#N/A,60701,Avery High Viking Academy,
Northwest,70.00,70302,Eastern Elementary,95
Northwest,70.00,70308,Bath Elementary,95
Northwest,70.00,70310,B C Ed Tech Center,100
Northwest,70.00,70311,Beaufort Co Early College High,100
Northwest,70.00,70325,Chocowinity Middle,95
Northwest,70.00,70326,Chocowinity Primary,95
Northwest,70.00,70327,John C Tayloe Elementary,100
Northwest,70.00,70328,John Small Elementary,90
Northwest,70.00,70329,Northeast Elementary,100
Northwest,70.00,70330,Northside High,81
Northwest,70.00,70338,P S Jones Middle,50
Northwest,70.00,70339,Southside High,75
Northwest,70.00,70340,S W Snowden Elementary,100
Northwest,70.00,70342,Washington High,40
Northwest,80.00,80311,Bertie Early College High,90
Northwest,80.00,80312,Bertie High,60
Northwest,80.00,80314,Bertie Middle,65
Northwest,80.00,80348,Aulander Elementary,70
Northwest,80.00,80356,West Bertie Elementary,52
Northwest,80.00,80360,Colerain Elementary,50
Northwest,80.00,80362,Windsor Elementary,50
Northwest,90.00,90315,Bladenboro Middle,90
Northwest,90.00,90317,Bladenboro Primary,85
Sandhills,90.00,90318,Bladen Lakes Primary,80
Sandhills,90.00,90320,Clarkton School of Discovery,85
Sandhills,90.00,90324,Dublin Primary,85
Sandhills,90.00,90328,East Arcadia Elementary,80
Sandhills,90.00,90330,East Bladen High,45
Sandhills,90.00,90332,Elizabethtown Middle,85
Sandhills,90.00,90333,Elizabethtown Primary,89
Sandhills,90.00,90352,Plain View Primary,85
Sandhills,90.00,90365,Tar Heel Middle,89
Sandhills,90.00,90368,West Bladen High,85
Sandhills,90.00,90376,Bladen Early College,96
Sandhills,100.00,100302,Belville Elementary,95
Sandhills,100.00,100304,Bolivia Elementary,94.8
Sandhills,100.00,100307,Brunswick County Early College,100
Sandhills,100.00,100308,The COAST,100
Sandhills,100.00,100309,Cedar Grove Middle,88
Sandhills,100.00,100310,Jessie Mae Monroe Elementary,75
Sandhills,100.00,100316,Leland Middle,100
Sandhills,100.00,100320,Lincoln Elementary,90
Sandhills,100.00,100326,North Brunswick High,95
Sandhills,100.00,100332,Shallotte Middle,98
Sandhills,100.00,100334,South Brunswick High,90
Sandhills,100.00,100335,South Brunswick Middle,60
Sandhills,100.00,100336,Southport Elementary,95
Sandhills,100.00,100338,Supply Elementary,50
Sandhills,100.00,100339,Town Creek Elementary,93
Sandhills,100.00,100340,Union Elementary,100
Sandhills,100.00,100341,Town Creek Middle,5
Sandhills,100.00,100342,Virginia Williamson Elem,100
Sandhills,100.00,100344,Waccamaw,70
Sandhills,100.00,100348,West Brunswick High,90
Sandhills,110.00,110303,Community High School,90
Sandhills,110.00,110304,Reynolds High,96
Sandhills,110.00,110306,Reynolds Middle,94
Sandhills,110.00,110308,Barnardsville Elementary,100
Western,110.00,110318,Black Mountain Elementary,85
Western,110.00,110320,Black Mountain Primary,85
Western,110.00,110322,Early College,90
Western,110.00,110323,Middle College,90
Western,110.00,110324,Candler Elementary,85
Western,110.00,110326,Cane Creek Middle,95
Western,110.00,110332,Bell Elementary,85
Western,110.00,110336,Owen High,99
Western,110.00,110338,Owen Middle,100
Western,110.00,110340,Erwin High,80
Western,110.00,110342,Erwin Middle,96
Western,110.00,110348,Emma Elementary,90
Western,110.00,110352,Enka High,99
Western,110.00,110356,Fairview Elementary,
Western,110.00,110366,Glen Arden Elementary,90
Western,110.00,110368,Haw Creek Elementary,7
