School Number,School Name1,LEA Name,223.  % of Students with Home Internet Access
00A000,North Carolina Cyber Academy,North Carolina Cyber Academy,76-100
00B000,NC Virtual Academy,NC Virtual Academy,76-100
01B000,River Mill Academy,River Mill Academy,76-100
01C000,Clover Garden,Clover Garden,76-100
01D000,The Hawbridge School,The Hawbridge School,76-100
06A000,Grandfather Academy,Grandfather Academy,0-25
06B000,Marjorie Williams Academy,Williams Academy,26-50
07A000,Washington Montessori,Washington Montessori,76-100
09A000,Paul R Brown Leadership Academy,Paul R Brown Leadership Academy,0-25
09B000,Emereau: Bladen,Emereau: Bladen,26-50
10A000,Charter Day School,Charter Day School,51-75
10B000,South Brunswick Charter,South Brunswick Charter School,76-100
11A000,Evergreen Community Charter,Evergreen Community Charter,76-100
11B000,ArtSpace Charter School,ArtSpace Charter,76-100
11C000,IC Imagine,Invest Collegiate - Imagine,76-100
11D000,The Franklin School of Innovation,The Franklin School of Innovation,76-100
11K000,Francine Delany New School,Francine Delany New School,76-100
12A000,New Dimensions,The New Dimensions School,76-100
13A000,Carolina International School,Carolina International School,51-75
13B000,Cabarrus Charter Academy,Cabarrus Charter Academy,76-100
13C000,A.C.E. Academy,A.C.E. Academy,76-100
13D000,Concord Lake STEAM Academy,Concord Lake STEAM Academy,51-75
16B000,Tiller School,Tiller School,76-100
19A000,Chatham Charter,Chatham Charter,76-100
19C000,Willow Oak Montessori,Willow Oak Montessori,76-100
20A000,The Learning Center,The Learning Center,76-100
24N000,Columbus Charter School,Columbus Charter School,51-75
26C000,The Capitol Encore Academy,The Capitol Encore Academy,76-100
27A000,Water's Edge Village School,Water's Edge Village School,76-100
32B000,Healthy Start Academy,Healthy Start Academy,0-25
32H000,Research Triangle Charter,Research Triangle Charter,51-75
32K000,Central Park School For Child,Central Park School For Children,76-100
32L000,Voyager Academy,Voyager Academy,76-100
32M000,Global Scholars Academy,Global Scholars Academy,26-50
32N000,Research Triangle High School,Research Triangle High School,76-100
32Q000,Reaching All Minds Academy,Reaching All Minds Academy,51-75
32R000,Excelsior Classical Academy,Excelsior Classical Academy,51-75
32S000,KIPP Durham College Preparatory,KIPP Durham College Preparatory,76-100
33A000,North East Carolina Prep,North East Carolina Preparatory School,76-100
34B000,Quality Education Academy,Quality Education Academy,76-100
34D000,Carter G. Woodson School,Carter G Woodson School,51-75
34F000,Forsyth Academy,Forsyth Academy,26-50
34G000,The Arts Based School,Arts Based School,76-100
34H000,NC Leadership Charter Academy,NC Leadership Charter Academy,76-100
36B000,Piedmont Community Charter School,Piedmont Community Charter,51-75
36C000,Mountain Island Charter School,Mountain Island Charter,76-100
39A000,Falls Lake Academy,Falls Lake Academy,76-100
39B000,Oxford Preparatory,Oxford Preparatory School,76-100
41B000,Greensboro Academy,Greensboro Academy,76-100
41C000,Guilford Preparatory Academy,Guilford Preparatory Academy,26-50
41D000,"Phoenix Academy-  Primary, Elem. IB MYP",Phoenix Academy Inc,76-100
41G000,Cornerstone Charter Academy-CFA,Cornerstone Charter Academy,76-100
41H000,College Prep and Leadership Academy,The College Preparatory and Leadership A,51-75
41J000,Summerfield Charter Academy,Summerfield Charter Academy,76-100
41L000,Gate City Charter,Gate City Charter Academy,26-50
42A000,KIPP Halifax College Prep,KIPP Halifax College Preparatory,51-75
43C000,Anderson Creek Academy,Anderson Creek Academy,76-100
45A000,The Mountain Community Sch,The Mountain Community Sch,76-100
45B000,FernLeaf Community Charter School,FernLeaf Community Charter School,76-100
49B000,American Renaissance School,American Renaissance School,76-100
49D000,Success Institute Charter,Success Charter School,26-50
49F000,Langtree Charter Academy,Langtree Charter Academy,76-100
49G000,Iredell Charter Academy,Iredell Charter Academy,76-100
50A000,Summit Charter,Summit Charter,51-75
51A000,Neuse Charter School,Neuse Charter School,76-100
51B000,Johnston Charter Academy,Johnston Charter Academy,76-100
54A000,Children's Village Academy,Children's Village Academy,0-25
55A000,Lincoln Charter School,Lincoln Charter School,76-100
58B000,Bear Grass Charter School,Bear Grass Charter School,76-100
60B000,Sugar Creek Charter,Sugar Creek Charter,51-75
60D000,Lake Norman Charter,Lake Norman Charter,76-100
60F000,Metrolina Reg Scholars Academy,Metrolina Regional Scholars Academy,76-100
60G000,Queen's Grant Community School,Queen's Grant Community School,76-100
60I000,Community School of Davidson,Community School of Davidson,76-100
60J000,Socrates Academy,Socrates Academy,76-100
60K000,Charlotte Secondary,Charlotte Secondary School,76-100
60M000,Corvian Community School,Corvian Community School,76-100
60P000,Charlotte Choice Charter,Charlotte Choice Charter,76-100
60S000,Bradford Preparatory School,Bradford Preparatory School,76-100
60Y000,Pioneer Springs Community School,Pioneer Springs Community School,76-100
61M000,Charlotte Lab School,Charlotte Lab School,76-100
61P000,"VERITAS Community School, CFA",VERITAS Community School,76-100
61Q000,Mallard Creek STEM Academy,Mallard Creek STEM Academy,76-100
61R000,Matthews Charter Academy,Matthews Charter Academy,76-100
63A000,The Academy of Moore County,The Academy of Moore County,76-100
63B000,STARS Charter,Sandhills Theatre Arts Renaiss,51-75
64A000,Rocky Mount Preparatory,Rocky Mount Preparatory,26-50
65A000,Cape Fear Center for Inquiry,Cape Fear Center for Inquiry,76-100
65B000,Wilmington Preparatory Academy,Wilmington Preparatory Academy,76-100
65C000,Douglass Academy,Douglass Academy,26-50
65G000,Girls Leadership Academy of Wilmington,Girls Leadership Academy of Wilmington,26-50
66A000,KIPP Gaston College Preparatory,Gaston College Preparatory,26-50
67B000,Z.E.C.A. School of Arts and Technology,Z.E.C.A. School of Arts and Technology,0-25
68C000,The Expedition School,The Expedition School,76-100
69A000,Arapahoe Charter School,Arapahoe Charter School,51-75
70A000,Northeast Academy of Aerospace & AdvTech,Northeast Academy of Aerospace & AdvTech,76-100
73A000,Bethel Hill Charter,Bethel Hill Charter,76-100
73B000,Roxboro Community School,Roxboro Community School,76-100
74B000,Ignite Innovation Academy - Pitt,Ignite Innovation Academy - Pitt,51-75
74C000,Winterville Charter Academy,Winterville Charter Academy,51-75
76A000,Uwharrie Charter Academy,Uwharrie Charter Academy,51-75
78A000,CIS Academy,CIS Academy,26-50
78B000,Southeastern Academy,Southeastern Academy,76-100
79A000,Bethany Community  School,Bethany Community Middle,76-100
81A000,Thomas Jefferson Class Academy,Thomas Jefferson Classical Academy,76-100
81B000,Lake Lure Classical Academy,Lake Lure Classical Academy,51-75
84B000,Gray Stone Day,Gray Stone Day School,76-100
86T000,Millennium Charter Academy,Millennium Charter Academy,76-100
90A000,Union Academy,Union Academy Charter School,76-100
90B000,Union Day School,Union Day School,76-100
90C000,Union Prep Academy at Indian Trail,Union Preparatory Academy at Indian Trai,76-100
91A000,Vance Charter School,Vance Charter School,76-100
91B000,Henderson Collegiate,Henderson Collegiate,26-50
92B000,The Exploris School,The Exploris School,76-100
92D000,Magellan Charter,Magellan Charter,76-100
92F000,Franklin Academy,Franklin Academy,76-100
92G000,East Wake Academy,East Wake Academy,76-100
92K000,Raleigh Charter High School,Raleigh Charter High School,76-100
92M000,PreEminent Charter,PreEminent Charter School,51-75
92N000,Quest Academy,Quest Academy,76-100
92P000,Southern Wake Academy,Southern Wake Academy,76-100
92R000,Casa Esperanza Montessori Charter School,Casa Esperanza Montessori,76-100
92S000,Endeavor Charter,Endeavor Charter,76-100
92U000,Longleaf School of the Arts,Longleaf School of the Arts,76-100
92V000,Wake Forest Charter Academy,Wake Forest Charter Academy,76-100
92Y000,Envision Science Academy,Envision Science Academy,76-100
93A000,Haliwa-Saponi Tribal School,Haliwa-Saponi Tribal School,26-50
93J000,PAVE Southeast Raleigh Charter,PAVE Southeast Raleigh Charter School,51-75
93M000,Peak Charter Academy,Peak Charter Academy,76-100
93N000,Pine Springs Prep Academy,Pine Springs Preparatory Academy: CFA,76-100
93P000,Rolesville Charter Academy,Rolesville Charter Academy,51-75
94Z000,Northeast Regional School - Biotech/Agri,Northeast Regional School - Biotech/Agri,76-100
95A000,Two Rivers Community School,Two Rivers Community School,76-100
96C000,Dillard Academy,Dillard Academy,0-25
97D000,Bridges Academy,Bridges Academy,51-75
98A000,Sallie B Howard School,Sallie B Howard School,51-75
10303,ABSS Early College at ACC,Alamance-Burlington Schools,76-100
10304,Alexander Wilson Elementary,Alamance-Burlington Schools,76-100
10308,Altamahaw-Ossipee Elementary,Alamance-Burlington Schools,76-100
10310,Broadview Middle,Alamance-Burlington Schools,26-50
10312,Highland Elementary,Alamance-Burlington Schools,76-100
10320,E M Yoder Elementary,Alamance-Burlington Schools,26-50
10324,Eastern Alamance High,Alamance-Burlington Schools,51-75
10326,Eastlawn Elementary,Alamance-Burlington Schools,26-50
10328,Edwin M Holt Elementary,Alamance-Burlington Schools,76-100
10340,Elon Elementary,Alamance-Burlington Schools,76-100
