year,agency_code,pct_eds,pct_eds_masking
2017,00A000,44.8,
2017,00B000,66.2,
2017,010303,43.8,
2017,010304,48.3,
2017,010308,48,
2017,010310,69,
2017,010311,,3
2017,010312,38.6,
2017,010320,49.5,
2017,010324,34.2,
2017,010326,70.3,
2017,010328,30.4,
2017,010340,47.9,
2017,010346,61.6,
2017,010347,59.3,
2017,010348,70.8,
2017,010350,86.5,
2017,010351,62.5,
2017,010353,52.9,
2017,010354,77.2,
2017,010357,71.4,
2017,010358,70.5,
2017,010360,78.8,
2017,010362,44.6,
2017,010364,78.4,
2017,010372,56.9,
2017,010374,71.4,
2017,010378,73.4,
2017,010380,62,
2017,010384,40.3,
2017,010388,33.9,
2017,010390,39.6,
2017,010392,64.5,
2017,010394,65.9,
2017,010396,53.9,
2017,010400,30.7,
2017,010403,35.8,
2017,010406,40.9,
2017,010LEA,53.7,
2017,01B000,23.1,
2017,01C000,28.4,
2017,01D000,7.8,
2017,020302,42.2,
2017,020303,52.6,
2017,020304,36.8,
2017,020306,59,
2017,020308,52.3,
2017,020316,68.3,
2017,020320,64.2,
2017,020324,53.3,
2017,020328,53.4,
2017,020330,40.6,
2017,020332,51.2,
2017,020LEA,50,
2017,030304,58.7,
2017,030308,72.1,
2017,030316,57.1,
2017,030320,72,
2017,030LEA,66.2,
2017,040304,43.7,
2017,040305,89.2,
2017,040306,70.2,
2017,040308,54.6,
2017,040309,67.8,
2017,040311,89.9,
2017,040316,77.2,
2017,040324,84.7,
2017,040328,58.2,
2017,040330,82,
2017,040700,65.2,
2017,040LEA,70.6,
2017,050302,47.8,
2017,050305,59.7,
2017,050310,65.8,
2017,050330,67.1,
2017,050335,58.3,
2017,050LEA,58.5,
2017,060302,61.8,
2017,060304,50.6,
2017,060310,53.9,
2017,060316,53.6,
2017,060318,56.3,
2017,060322,71.2,
2017,060328,69.3,
2017,060332,64.5,
2017,060334,70.8,
2017,060700,37.7,
2017,060701,44.6,
2017,060LEA,58.6,
2017,06A000,31.8,
2017,06B000,55.9,
2017,070302,70.2,
2017,070308,39.7,
2017,070310,77.4,
2017,070311,52.4,
2017,070325,71.8,
2017,070326,66.7,
2017,070327,69.6,
2017,070328,63,
2017,070329,76.2,
2017,070330,47.9,
2017,070338,72.4,
2017,070339,69.1,
2017,070340,86.6,
2017,070342,64,
2017,070LEA,65,
2017,07A000,19.5,
2017,080311,56,
2017,080312,83.8,
2017,080314,76.9,
2017,080348,80.9,
2017,080356,84.4,
2017,080360,79.5,
2017,080362,72.7,
2017,080700,66.2,
2017,080LEA,76.7,
2017,08A000,82.9,
2017,090304,91.7,
2017,090315,65.7,
2017,090317,74.5,
2017,090318,70.1,
2017,090320,58.8,
2017,090324,69.2,
2017,090328,70.7,
2017,090330,64.6,
2017,090332,69,
2017,090333,71.1,
2017,090352,80,
2017,090365,72,
2017,090368,64.5,
2017,090LEA,69.4,
2017,09A000,95,1
2017,100302,52.3,
2017,100304,64.4,
2017,100307,37.7,
2017,100308,86.2,
2017,100309,68,
2017,100310,77,
2017,100316,61.9,
2017,100320,81.2,
2017,100326,54.6,
2017,100332,58.4,
2017,100334,48.3,
2017,100335,51.8,
2017,100336,50.2,
2017,100338,82.4,
2017,100339,57.1,
2017,100340,60.6,
2017,100342,72.1,
2017,100344,71.8,
2017,100348,52.6,
2017,100LEA,60.3,
2017,10A000,36.9,
2017,10B000,40.1,
2017,110303,75.7,
2017,110304,38.6,
2017,110306,58.4,
2017,110308,65.3,
2017,110318,52.9,
2017,110320,53.1,
2017,110322,40.7,
2017,110323,34.5,
2017,110324,71.2,
2017,110326,34.4,
2017,110332,56.9,
2017,110336,48.5,
2017,110338,57.9,
2017,110340,62.6,
2017,110342,70.9,
2017,110348,52.4,
2017,110352,50.2,
2017,110356,41.7,
2017,110366,34.3,
2017,110368,46.7,
2017,110370,44.4,
2017,110372,65.4,
2017,110376,72.9,
2017,110379,55.3,
2017,110380,38.5,
2017,110381,46.5,
2017,110382,51.1,
2017,110384,79.5,
2017,110388,69.5,
2017,110401,59.6,
2017,110408,73.8,
2017,110410,66.2,
2017,110412,70.7,
2017,110416,35.9,
2017,110420,46.9,
2017,110422,51.4,
2017,110425,61.6,
2017,110428,41.7,
