id,tract,total,white,black,native,asian,pacific islander,other
1400000US37001020100,Census Tract 201,4058,2474,1157,13,72,0,419
1400000US37001020200,Census Tract 202,4093,2123,1197,36,182,0,630
1400000US37001020300,Census Tract 203,7400,3342,2138,0,0,0,2131
1400000US37001020400,Census Tract 204,6746,1321,3980,0,0,11,1526
1400000US37001020501,Census Tract 205.01,3819,2907,507,0,55,0,382
1400000US37001020502,Census Tract 205.02,4012,1633,1431,0,93,0,1105
1400000US37001020601,Census Tract 206.01,3113,3015,29,0,17,5,87
1400000US37001020602,Census Tract 206.02,2638,2488,98,0,24,0,43
1400000US37001020701,Census Tract 207.01,4973,4115,587,18,14,22,403
1400000US37001020702,Census Tract 207.02,4941,2830,1548,0,0,0,589
1400000US37001020801,Census Tract 208.01,1661,1169,293,2,56,0,202
1400000US37001020802,Census Tract 208.02,5915,2389,2221,0,107,0,1242
1400000US37001020901,Census Tract 209.01,3406,2322,431,0,111,14,634
1400000US37001020902,Census Tract 209.02,3459,2864,419,0,0,0,219
1400000US37001021000,Census Tract 210,3999,1738,1459,27,17,0,959
1400000US37001021101,Census Tract 211.01,2718,1694,814,47,13,0,181
1400000US37001021102,Census Tract 211.02,3369,2107,822,23,26,0,525
1400000US37001021201,Census Tract 212.01,5565,3159,1500,6,3,3,1050
1400000US37001021204,Census Tract 212.04,4976,3793,770,39,0,0,579
1400000US37001021205,Census Tract 212.05,6830,4393,1906,0,253,0,461
1400000US37001021206,Census Tract 212.06,5029,3318,1358,10,0,0,686
1400000US37001021207,Census Tract 212.07,3476,2848,262,15,40,0,371
1400000US37001021300,Census Tract 213,6018,3982,1694,35,48,4,356
1400000US37001021400,Census Tract 214,2748,2483,133,7,0,0,125
1400000US37001021500,Census Tract 215,4760,4127,365,9,0,0,433
1400000US37001021600,Census Tract 216,7553,6130,883,11,183,0,639
1400000US37001021701,Census Tract 217.01,3432,3036,320,5,54,0,17
1400000US37001021702,Census Tract 217.02,6911,6051,472,0,170,0,314
1400000US37001021703,Census Tract 217.03,6408,4346,911,30,940,4,314
1400000US37001021801,Census Tract 218.01,4858,4395,296,40,0,0,231
1400000US37001021802,Census Tract 218.02,3743,3519,106,0,13,3,195
1400000US37001021803,Census Tract 218.03,3246,2989,129,33,0,0,140
1400000US37001021901,Census Tract 219.01,4819,4425,181,42,17,0,247
1400000US37001021902,Census Tract 219.02,4139,3267,682,16,0,0,276
1400000US37001022001,Census Tract 220.01,4044,3382,476,13,94,0,89
1400000US37001022002,Census Tract 220.02,4449,3779,351,191,0,0,226
1400000US37003040100,Census Tract 401,3167,2930,142,0,0,0,190
1400000US37003040200,Census Tract 402,3910,3527,173,10,0,0,261
1400000US37003040300,Census Tract 403,3164,3054,60,0,0,0,100
1400000US37003040400,Census Tract 404,6761,4986,1103,89,86,0,727
1400000US37003040500,Census Tract 405,7016,6009,77,0,0,0,966
1400000US37003040600,Census Tract 406,6372,5503,618,39,180,0,54
1400000US37003040700,Census Tract 407,6823,6613,0,0,123,0,102
1400000US37005950100,Census Tract 9501,4117,4051,12,0,10,0,76
1400000US37005950200,Census Tract 9502,3711,3426,146,42,40,1,69
1400000US37005950300,Census Tract 9503,3180,3024,109,0,0,0,60
1400000US37007920100,Census Tract 9201,3031,1427,1468,0,0,0,272
1400000US37007920200,Census Tract 9202,1881,879,926,13,63,0,0
1400000US37007920300,Census Tract 9203,7496,5215,2005,45,60,15,292
1400000US37007920400,Census Tract 9204,3175,545,2620,0,0,0,20
1400000US37007920500,Census Tract 9205,5566,2003,3389,8,136,0,60
1400000US37007920600,Census Tract 9206,3753,1823,1686,0,72,0,227
1400000US37009970200,Census Tract 9702,2958,2859,21,4,0,4,140
1400000US37009970300,Census Tract 9703,2573,2530,0,17,0,0,52
1400000US37009970400,Census Tract 9704,5029,4767,45,0,61,0,270
1400000US37009970500,Census Tract 9705,5839,5410,104,54,7,11,319
1400000US37009970700,Census Tract 9707,5230,4980,27,35,35,0,246
1400000US37009970800,Census Tract 9708,5234,5082,0,0,17,11,162
1400000US37011930100,Census Tract 9301,3570,3231,66,19,20,4,288
1400000US37011930200,Census Tract 9302,2348,2288,40,1,18,0,2
1400000US37011930301,Census Tract 9303.01,3252,3215,27,0,0,0,20
1400000US37011930302,Census Tract 9303.02,2566,2512,5,23,6,0,40
1400000US37011930400,Census Tract 9304,5770,4863,555,188,33,0,214
1400000US37013930100,Census Tract 9301,4981,3365,1482,9,0,0,250
1400000US37013930200,Census Tract 9302,6572,5069,1431,0,1,0,123
1400000US37013930300,Census Tract 9303,3714,2065,1620,0,0,0,57
1400000US37013930400,Census Tract 9304,4724,2393,1991,114,0,0,377
1400000US37013930501,Census Tract 9305.01,4435,3662,760,1,2,0,20
1400000US37013930502,Census Tract 9305.02,3866,3091,619,0,0,0,200
1400000US37013930600,Census Tract 9306,3174,2993,109,0,14,0,116
1400000US37013930700,Census Tract 9307,2552,2438,96,0,15,0,6
1400000US37013930800,Census Tract 9308,2628,1385,1017,0,20,0,375
1400000US37013930900,Census Tract 9309,4297,3341,871,0,0,0,170
1400000US37013931000,Census Tract 9310,6225,4167,1786,0,0,0,383
1400000US37015960100,Census Tract 9601,5616,2856,2703,17,2,1,53
1400000US37015960200,Census Tract 9602,3953,1268,2561,0,22,0,120
1400000US37015960300,Census Tract 9603,3276,557,2603,0,3,0,184
1400000US37015960400,Census Tract 9604,6535,2149,4066,121,124,0,141
1400000US37017950100,Census Tract 9501,5080,3552,980,108,17,0,460
1400000US37017950200,Census Tract 9502,3099,1994,881,0,0,0,241
1400000US37017950300,Census Tract 9503,6549,3954,1887,69,33,0,693
1400000US37017950400,Census Tract 9504,6281,2700,3353,28,0,0,218
1400000US37017950500,Census Tract 9505,6646,5042,1463,19,0,0,208
1400000US37017950600,Census Tract 9506,5752,2018,3030,626,0,0,152
1400000US37019020101,Census Tract 201.01,2554,1085,1089,88,20,0,358
1400000US37019020102,Census Tract 201.02,5186,3993,575,0,14,0,1025
1400000US37019020103,Census Tract 201.03,8929,7830,655,0,223,0,289
1400000US37019020104,Census Tract 201.04,5816,3554,1539,109,0,0,727
1400000US37019020201,Census Tract 202.01,4564,3106,874,97,192,0,465
1400000US37019020202,Census Tract 202.02,9327,7818,770,0,48,0,1348
1400000US37019020203,Census Tract 202.03,2748,2256,337,99,0,6,59
1400000US37019020204,Census Tract 202.04,6847,5510,329,32,0,0,1256
1400000US37019020303,Census Tract 203.03,4029,3744,173,87,25,0,0
1400000US37019020304,Census Tract 203.04,8049,7928,25,79,0,0,34
1400000US37019020305,Census Tract 203.05,2795,2471,263,0,0,0,109
1400000US37019020306,Census Tract 203.06,2167,2010,87,21,0,0,98
1400000US37019020307,Census Tract 203.07,230,230,0,0,0,0,0
1400000US37019020308,Census Tract 203.08,1896,1878,0,0,0,0,36
1400000US37019020309,Census Tract 203.09,2968,2953,0,0,0,0,15
1400000US37019020310,Census Tract 203.10,2568,2513,0,11,27,0,32
1400000US37019020402,Census Tract 204.02,3393,3310,21,11,0,0,102
1400000US37019020403,Census Tract 204.03,5336,4485,479,31,57,0,334
1400000US37019020404,Census Tract 204.04,2800,2216,473,60,0,0,69
1400000US37019020405,Census Tract 204.05,3312,3171,107,6,0,3,50
1400000US37019020504,Census Tract 205.04,2045,1856,181,0,0,0,8
1400000US37019020505,Census Tract 205.05,4496,3385,866,0,70,0,346
1400000US37019020506,Census Tract 205.06,5352,4496,635,23,0,0,368
1400000US37019020507,Census Tract 205.07,7639,6994,494,31,0,0,240
1400000US37019020508,Census Tract 205.08,2992,2831,88,0,56,0,34
1400000US37019020509,Census Tract 205.09,4861,4608,51,45,8,0,293
1400000US37019020510,Census Tract 205.10,2039,1834,9,0,20,0,258
1400000US37019020511,Census Tract 205.11,2412,2381,0,0,0,0,51
1400000US37019020512,Census Tract 205.12,932,910,0,8,6,0,8
1400000US37019020601,Census Tract 206.01,4826,3049,1285,0,0,0,698
1400000US37019020602,Census Tract 206.02,5378,4187,777,57,0,0,493
1400000US37019020603,Census Tract 206.03,3329,2388,682,12,0,0,291
1400000US37019990100,Census Tract 9901,0,0,0,0,0,0,0
1400000US37021000100,Census Tract 1,1445,1050,257,12,22,0,154
1400000US37021000200,Census Tract 2,1402,871,367,0,34,0,260
1400000US37021000300,Census Tract 3,2396,1789,494,0,40,0,134
1400000US37021000400,Census Tract 4,3899,3414,121,76,64,0,417
1400000US37021000500,Census Tract 5,3559,3360,46,0,49,27,125
1400000US37021000600,Census Tract 6,1871,1765,93,0,0,0,26
1400000US37021000700,Census Tract 7,1605,941,600,16,27,0,37
1400000US37021000800,Census Tract 8,3454,2844,505,0,0,0,161
1400000US37021000900,Census Tract 9,2996,1469,1502,0,0,0,42
1400000US37021001000,Census Tract 10,4811,4019,548,14,67,0,319
1400000US37021001100,Census Tract 11,5573,4626,583,23,228,0,136
1400000US37021001200,Census Tract 12,4903,4691,212,0,0,0,0
1400000US37021001300,Census Tract 13,4551,3693,365,10,31,212,448
1400000US37021001400,Census Tract 14,6950,5928,672,167,16,0,184
1400000US37021001500,Census Tract 15,2711,2251,43,0,99,0,354
1400000US37021001600,Census Tract 16,6514,6211,107,0,47,0,244
1400000US37021001700,Census Tract 17,2728,2572,135,0,14,0,14
1400000US37021001801,Census Tract 18.01,3391,2907,363,0,13,0,216
1400000US37021001802,Census Tract 18.02,5062,4404,430,66,16,0,275
1400000US37021001900,Census Tract 19,3885,3677,124,0,11,0,146
1400000US37021002000,Census Tract 20,6446,4612,1634,0,45,0,296
1400000US37021002101,Census Tract 21.01,1462,1395,0,0,20,0,94
1400000US37021002102,Census Tract 21.02,5740,4629,928,75,17,0,182
1400000US37021002203,Census Tract 22.03,4429,3521,696,0,77,0,270
1400000US37021002204,Census Tract 22.04,9453,8525,393,0,457,0,156
1400000US37021002205,Census Tract 22.05,7406,6215,587,21,389,0,372
1400000US37021002206,Census Tract 22.06,4829,4230,0,0,440,0,300
1400000US37021002301,Census Tract 23.01,6862,6346,184,0,183,0,297
1400000US37021002302,Census Tract 23.02,9265,8543,183,0,256,0,422
1400000US37021002401,Census Tract 24.01,3514,3200,11,0,1,0,491
1400000US37021002402,Census Tract 24.02,4943,4450,209,28,61,0,364
1400000US37021002503,Census Tract 25.03,4081,3975,0,22,0,0,104
1400000US37021002504,Census Tract 25.04,4896,4728,0,42,0,0,203
1400000US37021002505,Census Tract 25.05,5313,5064,59,0,67,0,140
1400000US37021002506,Census Tract 25.06,3655,2875,508,41,0,0,438
1400000US37021002603,Census Tract 26.03,3818,3560,75,0,2,15,317
1400000US37021002604,Census Tract 26.04,5787,5629,7,27,0,0,157
1400000US37021002605,Census Tract 26.05,6215,5747,61,4,96,59,439
1400000US37021002606,Census Tract 26.06,4462,4302,50,0,7,0,206
1400000US37021002607,Census Tract 26.07,4091,3865,15,7,60,0,221
1400000US37021002701,Census Tract 27.01,3861,3567,53,128,30,7,148
1400000US37021002702,Census Tract 27.02,4403,4170,144,0,25,0,89
1400000US37021002703,Census Tract 27.03,6441,5841,59,0,21,16,769
1400000US37021002803,Census Tract 28.03,4827,4226,62,0,0,0,720
1400000US37021002804,Census Tract 28.04,4883,4776,33,0,0,0,109
1400000US37021002900,Census Tract 29,3814,3782,0,8,7,0,34
1400000US37021003001,Census Tract 30.01,9026,8052,738,57,27,0,240
1400000US37021003002,Census Tract 30.02,6591,6228,272,85,0,0,10
1400000US37021003102,Census Tract 31.02,5518,4964,404,29,15,0,162
1400000US37021003103,Census Tract 31.03,1888,1782,20,0,48,18,40
1400000US37021003104,Census Tract 31.04,6487,5850,295,49,68,0,429
1400000US37021003201,Census Tract 32.01,1663,1625,1,5,12,0,39
1400000US37021003202,Census Tract 32.02,4082,3842,124,8,40,0,136
1400000US37021003203,Census Tract 32.03,5774,5161,552,0,0,0,122
1400000US37021003204,Census Tract 32.04,5977,5240,177,38,0,0,640
1400000US37021003205,Census Tract 32.05,1278,1238,0,11,0,0,58
1400000US37023020100,Census Tract 201,4318,3617,572,18,0,0,144
1400000US37023020201,Census Tract 202.01,6586,5061,1138,0,11,0,751
1400000US37023020202,Census Tract 202.02,4222,3682,364,0,32,0,273
1400000US37023020301,Census Tract 203.01,4962,3792,488,44,479,0,293
1400000US37023020302,Census Tract 203.02,7403,6600,33,136,451,60,231
1400000US37023020500,Census Tract 205,2818,1954,306,0,42,26,537
1400000US37023020600,Census Tract 206,5573,3982,379,162,0,3,1133
1400000US37023020801,Census Tract 208.01,5457,5004,125,0,150,0,212
1400000US37023020802,Census Tract 208.02,3553,2985,403,1,118,0,92
1400000US37023020900,Census Tract 209,6901,6480,0,14,307,0,197
1400000US37023021000,Census Tract 210,5070,4540,61,12,425,0,64
1400000US37023021100,Census Tract 211,6000,5475,58,0,363,0,166
1400000US37023021201,Census Tract 212.01,3724,3602,0,56,43,0,33
1400000US37023021202,Census Tract 212.02,4928,4379,8,6,299,0,367
1400000US37023021203,Census Tract 212.03,4377,3821,98,18,355,0,121
1400000US37023021301,Census Tract 213.01,5654,4405,833,0,14,42,530
1400000US37023021302,Census Tract 213.02,3425,3289,46,5,0,9,114
1400000US37023021400,Census Tract 214,4997,3219,565,340,163,0,769
1400000US37025040500,Census Tract 405,13448,8650,2981,0,27,77,2167
1400000US37025040600,Census Tract 406,7091,6027,465,0,0,0,838
1400000US37025040701,Census Tract 407.01,1671,1263,290,0,0,0,137
1400000US37025040702,Census Tract 407.02,7143,4463,2291,0,75,0,449
1400000US37025040703,Census Tract 407.03,2763,1206,1049,0,0,0,584
1400000US37025040800,Census Tract 408,3760,2612,705,0,0,0,535
1400000US37025040900,Census Tract 409,2003,1272,439,0,3,0,312
1400000US37025041000,Census Tract 410,5842,3863,1410,0,0,35,664
1400000US37025041100,Census Tract 411,6383,5305,887,0,3,0,212
1400000US37025041200,Census Tract 412,8857,6098,1830,24,168,0,1232
1400000US37025041301,Census Tract 413.01,6861,5168,824,78,304,20,668
1400000US37025041302,Census Tract 413.02,11284,7665,1766,47,1493,0,491
1400000US37025041303,Census Tract 413.03,10349,6051,2046,0,1996,0,490
1400000US37025041501,Census Tract 415.01,11311,7486,2041,87,1192,0,996
1400000US37025041502,Census Tract 415.02,8018,6304,865,0,478,0,412
1400000US37025041503,Census Tract 415.03,4333,2793,1091,0,234,0,387
1400000US37025041601,Census Tract 416.01,8634,7493,503,0,221,0,694
1400000US37025041602,Census Tract 416.02,3982,3594,117,9,110,0,304
1400000US37025041701,Census Tract 417.01,4025,3893,60,0,41,0,31
1400000US37025041702,Census Tract 417.02,3672,3413,183,0,36,0,80
1400000US37025041901,Census Tract 419.01,2216,1049,699,0,0,0,468
1400000US37025041902,Census Tract 419.02,4239,1724,1631,17,0,0,1017
1400000US37025042000,Census Tract 420,5115,3506,718,0,57,10,1056
1400000US37025042101,Census Tract 421.01,3180,776,1473,0,35,0,903
1400000US37025042102,Census Tract 421.02,3937,2739,961,0,92,0,248
1400000US37025042200,Census Tract 422,7066,5965,742,7,0,68,360
1400000US37025042300,Census Tract 423,4078,2495,1085,0,22,0,656
1400000US37025042401,Census Tract 424.01,3544,2899,308,19,110,0,300
1400000US37025042402,Census Tract 424.02,6715,3094,2305,379,48,0,1119
1400000US37025042501,Census Tract 425.01,4171,3451,525,0,63,0,201
1400000US37025042502,Census Tract 425.02,2660,1826,776,0,0,0,116
1400000US37025042503,Census Tract 425.03,4099,2944,524,0,319,0,389
1400000US37025042504,Census Tract 425.04,1595,1307,105,0,30,0,222
1400000US37025042601,Census Tract 426.01,5264,4641,293,0,186,0,260
1400000US37025042602,Census Tract 426.02,4177,2978,912,0,53,0,295
1400000US37025042603,Census Tract 426.03,8096,6054,1434,0,222,0,740
1400000US37025042604,Census Tract 426.04,5033,3671,832,17,82,0,604
1400000US37027030100,Census Tract 301,5448,3152,1396,22,0,0,894
1400000US37027030200,Census Tract 302,4712,4071,410,0,0,0,279
1400000US37027030300,Census Tract 303,4170,3187,533,17,0,0,510
1400000US37027030400,Census Tract 304,3947,3248,398,59,37,0,279
1400000US37027030500,Census Tract 305,4940,4239,139,27,110,0,785
1400000US37027030600,Census Tract 306,4711,4325,20,1,24,0,426
1400000US37027030700,Census Tract 307,7027,6501,84,11,78,0,595
1400000US37027030800,Census Tract 308,7646,7321,87,101,0,0,214
1400000US37027030900,Census Tract 309,4695,4517,58,0,8,0,150
1400000US37027031000,Census Tract 310,3226,3151,20,0,0,26,58
1400000US37027031100,Census Tract 311,4252,3885,224,0,0,0,273
1400000US37027031201,Census Tract 312.01,4500,4232,185,34,0,0,49
1400000US37027031202,Census Tract 312.02,4387,4269,0,0,0,10,191
1400000US37027031300,Census Tract 313,8912,8336,117,0,105,0,633
1400000US37027031401,Census Tract 314.01,3423,3316,0,27,16,0,128
1400000US37027031402,Census Tract 314.02,3357,3021,33,0,37,0,274
1400000US37027031403,Census Tract 314.03,2531,2031,75,0,0,0,456
1400000US37029950101,Census Tract 9501.01,5724,4727,809,12,80,0,164
1400000US37029950102,Census Tract 9501.02,4827,3991,651,0,109,13,126
1400000US37031970101,Census Tract 9701.01,959,950,3,3,0,3,0
1400000US37031970102,Census Tract 9701.02,2394,2280,84,0,11,0,38
1400000US37031970103,Census Tract 9701.03,2743,2722,0,0,0,0,35
1400000US37031970200,Census Tract 9702,1260,1240,20,0,0,0,0
1400000US37031970301,Census Tract 9703.01,4578,3723,716,0,0,0,278
1400000US37031970302,Census Tract 9703.02,1174,768,326,9,0,0,122
1400000US37031970303,Census Tract 9703.03,1037,856,156,9,16,0,0
1400000US37031970304,Census Tract 9703.04,2209,1829,124,18,0,0,379
1400000US37031970401,Census Tract 9704.01,1591,1408,88,0,65,0,60
1400000US37031970402,Census Tract 9704.02,1315,960,323,0,12,0,40
1400000US37031970403,Census Tract 9704.03,1230,1179,14,0,0,5,59
1400000US37031970501,Census Tract 9705.01,3073,2629,325,0,42,0,138
1400000US37031970502,Census Tract 9705.02,2379,2257,80,19,0,0,46
1400000US37031970503,Census Tract 9705.03,2307,1869,292,35,17,0,173
1400000US37031970504,Census Tract 9705.04,1858,1528,49,0,89,0,363
1400000US37031970601,Census Tract 9706.01,1458,1268,57,25,0,0,194
1400000US37031970602,Census Tract 9706.02,1157,1030,0,0,127,0,0
1400000US37031970603,Census Tract 9706.03,1371,1297,74,0,0,0,0
1400000US37031970604,Census Tract 9706.04,2167,2107,7,0,21,0,64
1400000US37031970605,Census Tract 9706.05,1408,1279,0,0,85,0,88
1400000US37031970701,Census Tract 9707.01,1105,1047,35,14,0,0,18
1400000US37031970702,Census Tract 9707.02,3011,2782,96,0,48,0,170
1400000US37031970703,Census Tract 9707.03,5363,4674,366,7,107,0,418
1400000US37031970704,Census Tract 9707.04,2330,2048,74,0,12,0,383
1400000US37031970801,Census Tract 9708.01,3106,2928,93,0,12,0,115
1400000US37031970802,Census Tract 9708.02,2130,1880,35,8,38,0,338
1400000US37031970803,Census Tract 9708.03,1584,1584,0,0,0,0,0
1400000US37031970804,Census Tract 9708.04,3532,3225,173,16,22,0,141
1400000US37031970805,Census Tract 9708.05,1847,1610,33,13,75,0,218
1400000US37031970901,Census Tract 9709.01,1196,1114,0,2,0,32,96
1400000US37031970902,Census Tract 9709.02,1379,1322,5,40,0,0,24
1400000US37031970903,Census Tract 9709.03,1128,1113,0,0,0,0,30
1400000US37031971001,Census Tract 9710.01,520,506,5,0,9,0,0
1400000US37031971002,Census Tract 9710.02,1343,1311,5,3,0,0,48
1400000US37031971101,Census Tract 9711.01,1268,1240,0,4,0,0,34
1400000US37031971102,Census Tract 9711.02,560,531,27,2,0,0,0
1400000US37031980100,Census Tract 9801,0,0,0,0,0,0,0
1400000US37031990100,Census Tract 9901,0,0,0,0,0,0,0
1400000US37031990200,Census Tract 9902,0,0,0,0,0,0,0
1400000US37033930100,Census Tract 9301,2407,1045,1140,0,9,0,357
1400000US37033930200,Census Tract 9302,5376,2665,2581,6,16,22,134
1400000US37033930300,Census Tract 9303,3922,2896,687,0,46,0,319
1400000US37033930400,Census Tract 9304,2229,1610,612,0,4,0,3
1400000US37033930500,Census Tract 9305,3538,2474,826,42,77,0,177
1400000US37033930600,Census Tract 9306,5212,3617,1579,0,0,0,32
1400000US37035010101,Census Tract 101.01,5938,5165,510,0,239,0,39
1400000US37035010102,Census Tract 101.02,4113,3175,349,36,519,0,48
1400000US37035010201,Census Tract 102.01,5000,4177,57,13,595,0,316
1400000US37035010202,Census Tract 102.02,8599,6461,432,78,999,0,877
1400000US37035010301,Census Tract 103.01,4722,3981,71,0,123,0,612
1400000US37035010302,Census Tract 103.02,5763,5044,421,0,298,0,0
1400000US37035010303,Census Tract 103.03,4405,3611,164,0,38,0,656
1400000US37035010304,Census Tract 103.04,4478,2967,382,0,228,0,1041
1400000US37035010401,Census Tract 104.01,7215,4995,831,0,586,0,1040
1400000US37035010402,Census Tract 104.02,5051,3363,898,0,134,0,964
1400000US37035010501,Census Tract 105.01,3857,3446,280,10,121,0,0
1400000US37035010502,Census Tract 105.02,3501,3260,20,0,192,0,58
1400000US37035010600,Census Tract 106,6517,4871,784,0,0,0,990
1400000US37035010700,Census Tract 107,2366,1490,256,8,104,0,632
1400000US37035010900,Census Tract 109,3219,1299,1614,0,101,0,304
1400000US37035011000,Census Tract 110,2140,1241,275,0,13,0,707
1400000US37035011101,Census Tract 111.01,3885,2972,332,52,160,0,417
1400000US37035011102,Census Tract 111.02,7671,5458,595,47,635,0,1160
1400000US37035011200,Census Tract 112,6363,4354,918,29,0,0,1330
1400000US37035011300,Census Tract 113,7036,3886,1294,0,569,0,1594
1400000US37035011401,Census Tract 114.01,3544,2449,298,46,293,0,654
1400000US37035011402,Census Tract 114.02,3893,3621,123,0,74,0,75
1400000US37035011501,Census Tract 115.01,4725,4531,174,2,12,0,12
1400000US37035011503,Census Tract 115.03,3690,3543,45,0,0,0,173
1400000US37035011504,Census Tract 115.04,6577,6458,95,0,0,0,36
1400000US37035011601,Census Tract 116.01,4542,3252,203,31,56,0,1427
1400000US37035011602,Census Tract 116.02,5162,5063,26,0,56,0,17
1400000US37035011701,Census Tract 117.01,4563,3809,532,21,65,0,162
1400000US37035011702,Census Tract 117.02,7067,5654,508,61,376,0,560
1400000US37035011801,Census Tract 118.01,5680,5083,344,0,134,0,129
1400000US37035011802,Census Tract 118.02,6331,5962,65,36,135,0,266
1400000US37037020103,Census Tract 201.03,4616,3542,493,0,121,0,614
1400000US37037020104,Census Tract 201.04,5370,4959,133,63,81,0,260
1400000US37037020105,Census Tract 201.05,5516,4717,131,0,293,21,575
1400000US37037020106,Census Tract 201.06,4593,3886,531,0,85,27,128
1400000US37037020200,Census Tract 202,8788,7306,855,0,8,0,1115
1400000US37037020300,Census Tract 203,2790,2053,383,0,0,0,614
1400000US37037020401,Census Tract 204.01,6099,4212,960,0,104,0,997
1400000US37037020402,Census Tract 204.02,4499,2519,1107,10,0,0,1061
1400000US37037020500,Census Tract 205,3626,3163,380,6,0,0,77
1400000US37037020600,Census Tract 206,5187,4117,869,0,134,0,133
1400000US37037020701,Census Tract 207.01,6970,6350,294,0,91,0,442
1400000US37037020702,Census Tract 207.02,3996,3480,350,0,42,0,149
1400000US37037020800,Census Tract 208,9288,7414,1555,0,109,0,381
1400000US37039930100,Census Tract 9301,4228,3951,120,90,26,0,69
1400000US37039930200,Census Tract 9302,2155,2031,0,27,0,0,185
1400000US37039930300,Census Tract 9303,2741,2481,2,116,1,0,201
1400000US37039930400,Census Tract 9304,5969,5579,108,107,38,0,268
1400000US37039930500,Census Tract 9305,5297,4893,91,14,128,0,295
1400000US37039930601,Census Tract 9306.01,3421,3169,27,64,10,12,164
1400000US37039930602,Census Tract 9306.02,4158,3991,0,9,0,0,316
1400000US37041930101,Census Tract 9301.01,5230,2279,2829,29,46,0,77
1400000US37041930102,Census Tract 9301.02,2352,1507,591,17,0,0,248
1400000US37041930200,Census Tract 9302,6515,4829,1547,14,0,0,213
1400000US37043950100,Census Tract 9501,5030,4919,43,43,0,0,49
1400000US37043950200,Census Tract 9502,5916,5661,185,0,22,17,55
1400000US37045950101,Census Tract 9501.01,4997,4541,206,92,125,0,60
1400000US37045950102,Census Tract 9501.02,2551,2464,71,0,0,0,32
1400000US37045950200,Census Tract 9502,4647,3409,1177,0,23,0,68
1400000US37045950301,Census Tract 9503.01,4522,3158,902,0,151,0,388
1400000US37045950302,Census Tract 9503.02,6054,5401,445,19,107,0,139
1400000US37045950400,Census Tract 9504,7254,5381,1543,0,186,0,166
1400000US37045950500,Census Tract 9505,3310,2364,842,0,0,0,160
1400000US37045950601,Census Tract 9506.01,3820,3094,377,0,8,0,427
1400000US37045950602,Census Tract 9506.02,6019,4950,801,35,181,0,104
1400000US37045950700,Census Tract 9507,7554,4779,2705,0,0,0,140
1400000US37045950800,Census Tract 9508,4579,3181,1283,0,22,0,93
1400000US37045950900,Census Tract 9509,2649,666,1855,0,57,0,127
1400000US37045951000,Census Tract 9510,3092,2017,1049,0,0,0,52
1400000US37045951100,Census Tract 9511,2742,1410,1175,0,0,0,208
1400000US37045951200,Census Tract 9512,5651,3588,1561,0,28,14,574
1400000US37045951300,Census Tract 9513,2891,2393,224,0,52,0,258
1400000US37045951400,Census Tract 9514,6397,5185,908,109,7,0,331
1400000US37045951501,Census Tract 9515.01,5785,5350,283,0,41,0,188
1400000US37045951502,Census Tract 9515.02,1192,1038,99,0,0,0,59
1400000US37045951503,Census Tract 9515.03,2618,2077,448,0,6,0,131
1400000US37045951601,Census Tract 9516.01,4302,2864,1204,7,12,0,261
1400000US37045951602,Census Tract 9516.02,4656,3265,1228,0,0,0,310
