Fiscal Year,School Code,School Name,Average DailyMembershipRange,EconomicallyDisadvantagedRange,SchoolLevel,223.  % of Students with Home Internet Access
2019-2020,00A000,North Carolina Cyber Academy,1500-2000,-,Elem/Middle/High,-
2019-2020,00B000,NC Virtual Academy,2000+,-,Elem/Middle/High,-
2019-2020,10303,ABSS Early College at ACC,101-250,Between 25% and 30%,High,88
2019-2020,10304,Alexander Wilson Elementary,501-750,Between 45% and 50%,Elementary,85
2019-2020,10308,Altamahaw-Ossipee Elementary,501-750,Between 40% and 45%,Elementary,75
2019-2020,10310,Broadview Middle,751-1000,Between 80% and 85%,Middle,85
2019-2020,10311,Career and Technical Education Center,-,-,High,85
2019-2020,10312,Highland Elementary,501-750,Between 30% and 35%,Elementary,90
2019-2020,10320,E M Yoder Elementary,251-500,Between 40% and 45%,Elementary,60
2019-2020,10324,Eastern Alamance High,1001-1500,Between 30% and 35%,High,75
2019-2020,10326,Eastlawn Elementary,501-750,Greater than 90%,Elementary,86
2019-2020,10328,Edwin M Holt Elementary,501-750,Between 35% and 40%,Elementary,65
2019-2020,10340,Elon Elementary,751-1000,Between 30% and 35%,Elementary,75
2019-2020,10346,B. Everett Jordan Elementary,251-500,Between 55% and 60%,Elementary,75
2019-2020,10347,Audrey W. Garrett Elementary,501-750,Between 50% and 55%,Elementary,83
2019-2020,10348,Graham High,751-1000,Between 70% and 75%,High,80
2019-2020,10350,Graham Middle,501-750,Between 80% and 85%,Middle,85
2019-2020,10351,Grove Park Elementary,251-500,Between 80% and 85%,Elementary,74
2019-2020,10353,Hawfields Middle,501-750,Between 40% and 45%,Middle,92
2019-2020,10354,Harvey R Newlin Elementary,501-750,Greater than 90%,Elementary,78
2019-2020,10357,Haw River Elementary,251-500,Greater than 90%,Elementary,70
2019-2020,10358,Hillcrest Elementary,501-750,Between 80% and 85%,Elementary,78
2019-2020,10360,Hugh M Cummings High,751-1000,Between 75% and 80%,High,85
2019-2020,10362,Marvin B Smith Elementary,501-750,Between 40% and 45%,Elementary,67
2019-2020,10364,North Graham Elementary,251-500,Greater than 90%,Elementary,68
2019-2020,10372,Pleasant Grove Elementary,251-500,Between 80% and 85%,Elementary,35
2019-2020,10374,R Homer Andrews Elementary,501-750,Greater than 90%,Elementary,85
2019-2020,10378,Ray Street Academy,0-100,Greater than 90%,Middle/High,60
2019-2020,10380,South Graham Elementary,501-750,Greater than 90%,Elementary,25
2019-2020,10384,South Mebane Elementary,501-750,Between 40% and 45%,Elementary,80
2019-2020,10388,Southern Alamance High,1001-1500,Between 30% and 35%,High,68
2019-2020,10390,Southern Alamance Middle,751-1000,Between 35% and 40%,Middle,35
2019-2020,10392,Sylvan Elementary,251-500,Between 60% and 65%,Elementary,70
2019-2020,10394,Turrentine Middle,1001-1500,Between 60% and 65%,Middle,70
2019-2020,10396,Walter M Williams High,1001-1500,Between 50% and 55%,High,94
2019-2020,10400,Western Alamance High,1001-1500,Between 20% and 25%,High,85
2019-2020,10403,Western Alamance Middle,751-1000,Between 25% and 30%,Middle,85
